Plan Name,MQS Name,Plan Code,Price
Bronze 25,Bronze25,PBRONZE25,499
Bronze 30,Bronze30,PBRONZE30,549
Bronze 40,Bronze40,PBRONZE40,649
Silver 50,Silver50,PSILVER50,799
Silver 60,Silver60,PSILVER60,1099
Silver 75,Silver75,PSILVER75,1599
Silver 90,Silver90,PSILVER90,2099
Gold 100,Gold100,PGOLD100,2599
Freedom,Freedom,PPFREEDOM,1500
Bronze 70,Bronze 70,PBRONZE70,499
Bronze 80,Bronze80,PBRONZE80,549
Bronze 90,Bronze90,PBRONZE90,649
Silver 100,Silver100,PSILVER100,799
Silver 125,Silver125,PSILVER125,1099
Silver 150,Silver150,PSILVER150,1599
Silver 175,Silver175,PSILVER175,2099
Gold 200,Gold200,PGOLD200,2599
BB Biz_50 Mbps,BB_Biz_50Mbps,PBBIZ50MB,1499
BB Biz_70 Mbps,BB_Biz_70Mbps,PBBIZ70MB,1799
BB Biz_100 Mbps,BB_Biz_100Mbps,PBBIZ100MB,2399
BB Biz_150 Mbps,BB_Biz_150Mbps,PBBIZ150MB,3099
BB Biz_200 Mbps,BB_Biz_200Mbps,PBBIZ200MB,5599
Quicker-8-30 GB,Quicker 30GB Plan,FUPQUICK4,300
Quicker-16-60 GB,Quicker-16-60GB,PQUICKER16,400
